participant_id,n_trials,posterior_mean_sigma_wba,posterior_mean_sigma_sba,sigma_difference,posterior_mean_w_direct,posterior_mean_w_social,divergences_wba,divergences_sba,R_hat_max_wba,R_hat_max_sba,status_wba,status_sba
201,153,0.65588,1.14376,0.4878800000000001,0.347582,0.0110954,0,0,1.00305,1.00259,success,success
203,153,1.02979,1.32849,0.29869999999999997,0.170961,0.0317184,0,0,1.00282,1.00456,success,success
204,153,1.07701,1.32742,0.25041,0.291029,0.0463434,0,0,1.00297,1.00379,success,success
205,153,1.11528,1.42702,0.3117399999999999,0.423086,0.0270097,0,0,1.00316,1.00276,success,success
206,153,1.2946,1.53283,0.23822999999999994,0.554042,0.0402604,0,0,1.00229,1.00458,success,success
210,153,1.12865,1.30502,0.17637000000000014,0.368737,0.067083,0,0,1.00497,1.00871,success,success
211,153,1.3829,1.62492,0.2420199999999999,0.171039,0.0275333,0,0,1.00359,1.00551,success,success
212,153,1.03557,1.31709,0.28152,0.398476,0.0334523,0,0,1.0036,1.00326,success,success
213,153,1.75139,1.81873,0.06733999999999996,0.642548,0.220935,0,0,1.00443,1.00297,success,success
216,153,1.38903,1.61387,0.22483999999999993,0.240581,0.0440565,0,0,1.00476,1.00421,success,success
218,153,1.37913,1.74364,0.3645100000000001,0.0546157,0.0136656,0,0,1.00303,1.00482,success,success
221,153,0.955694,1.20339,0.24769599999999992,2.89237,0.276484,0,0,1.0025,1.00356,success,success
222,153,1.09476,1.37604,0.28128,0.128284,0.0411419,0,0,1.00275,1.0023,success,success
225,153,1.3461,1.47599,0.12988999999999984,1.59089,0.31046,0,0,1.00216,1.00295,success,success
226,153,1.22934,1.50626,0.27691999999999983,0.255158,0.0217121,0,0,1.00342,1.00376,success,success
227,153,1.34038,1.58142,0.24104000000000014,1.05956,0.0594731,0,0,1.00376,1.00508,success,success
228,153,1.08957,1.36598,0.27641000000000004,0.428009,0.0270164,0,0,1.00201,1.00185,success,success
229,153,1.76428,1.95979,0.19550999999999985,0.0230305,0.0214288,0,8,1.00277,1.00622,success,success
231,153,1.04251,1.24223,0.1997199999999999,0.64194,0.0812962,0,0,1.00255,1.00253,success,success
232,153,1.48473,1.7187,0.2339699999999998,0.193682,0.0319894,0,0,1.00399,1.00458,success,success
233,153,1.4187,1.52981,0.11110999999999982,1.54532,0.342899,0,0,1.00324,1.00324,success,success
234,153,1.23255,1.48471,0.25215999999999994,0.550654,0.0447331,0,0,1.00236,1.00543,success,success
235,153,1.01169,1.24517,0.23348000000000013,0.633902,0.0710283,0,0,1.00368,1.00529,success,success
236,153,0.87877,1.15737,0.27859999999999996,0.369134,0.052605,0,0,1.00382,1.00256,success,success
237,153,1.56614,1.85177,0.28562999999999983,0.161239,0.0140617,0,0,1.00432,1.00293,success,success
238,153,1.04483,1.4116,0.36677000000000004,0.23361,0.0140948,0,0,1.00472,1.00208,success,success
239,153,1.89515,1.94557,0.05042000000000013,0.217647,0.0746481,0,2,1.00257,1.00386,success,success
240,153,1.89049,1.97361,0.08312000000000008,0.0395463,0.0262666,0,3,1.00316,1.00464,success,success
241,153,0.992586,1.15336,0.16077399999999997,1.88868,0.278364,0,0,1.00249,1.00318,success,success
242,153,1.53357,1.65538,0.12180999999999997,1.29944,0.180832,0,0,1.0027,1.00392,success,success
243,153,1.20908,1.38401,0.17493000000000003,0.786617,0.128773,0,0,1.00332,1.00364,success,success
244,153,1.3747,1.65744,0.28274,0.470019,0.0264034,0,0,1.00473,1.00754,success,success
245,153,1.42233,1.56976,0.14742999999999995,1.0672,0.13745,0,0,1.00493,1.00179,success,success
246,153,1.27302,1.51391,0.24089000000000005,2.63847,0.155523,0,0,1.00467,1.00451,success,success
247,153,0.923948,1.17205,0.24810200000000004,0.31248,0.0510873,0,0,1.00237,1.00287,success,success
248,153,1.6658,1.82775,0.16195000000000004,0.291327,0.0499015,0,0,1.00773,1.00622,success,success
249,153,1.88906,1.93494,0.04588000000000014,0.563173,0.0922079,0,4,1.0031,1.01008,success,success
250,153,0.640048,1.03223,0.39218200000000003,0.573645,0.0372941,0,0,1.00276,1.00294,success,success
305,153,1.78456,1.8786,0.09404000000000012,0.209152,0.0929535,0,0,1.00506,1.00713,success,success
317,153,1.29445,1.52335,0.22889999999999988,0.449775,0.0440455,0,0,1.00425,1.00571,success,success
