participant_id,n_trials,posterior_mean_sigma,divergences,R_hat_max,status,error_message
201,153,1.14376,0,1.00259,success,
203,153,1.32849,0,1.00456,success,
204,153,1.32742,0,1.00379,success,
205,153,1.42702,0,1.00276,success,
206,153,1.53283,0,1.00458,success,
210,153,1.30502,0,1.00871,success,
211,153,1.62492,0,1.00551,success,
212,153,1.31709,0,1.00326,success,
213,153,1.81873,0,1.00297,success,
216,153,1.61387,0,1.00421,success,
218,153,1.74364,0,1.00482,success,
221,153,1.20339,0,1.00356,success,
222,153,1.37604,0,1.0023,success,
225,153,1.47599,0,1.00295,success,
226,153,1.50626,0,1.00376,success,
227,153,1.58142,0,1.00508,success,
228,153,1.36598,0,1.00185,success,
229,153,1.95979,8,1.00622,success,
231,153,1.24223,0,1.00253,success,
232,153,1.7187,0,1.00458,success,
233,153,1.52981,0,1.00324,success,
234,153,1.48471,0,1.00543,success,
235,153,1.24517,0,1.00529,success,
236,153,1.15737,0,1.00256,success,
237,153,1.85177,0,1.00293,success,
238,153,1.4116,0,1.00208,success,
239,153,1.94557,2,1.00386,success,
240,153,1.97361,3,1.00464,success,
241,153,1.15336,0,1.00318,success,
242,153,1.65538,0,1.00392,success,
243,153,1.38401,0,1.00364,success,
244,153,1.65744,0,1.00754,success,
245,153,1.56976,0,1.00179,success,
246,153,1.51391,0,1.00451,success,
247,153,1.17205,0,1.00287,success,
248,153,1.82775,0,1.00622,success,
249,153,1.93494,4,1.01008,success,
250,153,1.03223,0,1.00294,success,
305,153,1.8786,0,1.00713,success,
317,153,1.52335,0,1.00571,success,
