,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-99.5467,0.0172214,0.701035,0.330011,-101.088,-99.2687,-99.0275,1812.43,2022.81,1980.79,1.00163
sigma,1.14853,0.00180187,0.0649114,0.065838,1.04674,1.14522,1.26238,1324.47,1544.9,1447.51,1.00192
log_lik[1],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[2],-2.14553,0.0018003,0.0666597,0.0669809,-2.26413,-2.14016,-2.0454,1324.47,1544.9,1447.51,1.00192
log_lik[3],-1.48783,0.000246275,0.00868216,0.00675035,-1.50614,-1.48497,-1.47963,1339.82,1544.9,1464.29,1.00117
log_lik[4],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[5],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[6],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[7],-1.07975,0.00148388,0.0536957,0.0549958,-1.17155,-1.07836,-0.993139,1324.47,1544.9,1447.51,1.00192
log_lik[8],-1.06929,0.00151599,0.0548707,0.0562506,-1.16297,-1.06794,-0.980661,1324.47,1544.9,1447.51,1.00192
log_lik[9],-2.99307,0.00440554,0.162046,0.163828,-3.27487,-2.98454,-2.74031,1324.47,1544.9,1447.51,1.00192
log_lik[10],-2.31295,0.00231463,0.0854872,0.0862549,-2.46378,-2.30695,-2.18267,1324.47,1544.9,1447.51,1.00192
log_lik[11],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[12],-2.99307,0.00440554,0.162046,0.163828,-3.27487,-2.98454,-2.74031,1324.47,1544.9,1447.51,1.00192
log_lik[13],-1.91683,0.00109862,0.040985,0.0405415,-1.99139,-1.91231,-1.85788,1324.47,1544.9,1447.51,1.00192
log_lik[14],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[15],-1.10965,0.00139214,0.0503397,0.0514858,-1.19606,-1.10814,-1.02879,1324.47,1544.9,1447.51,1.00192
log_lik[16],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[17],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[18],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[19],-2.31295,0.00231463,0.0854872,0.0862549,-2.46378,-2.30695,-2.18267,1324.47,1544.9,1447.51,1.00192
log_lik[20],-2.14553,0.0018003,0.0666597,0.0669809,-2.26413,-2.14016,-2.0454,1324.47,1544.9,1447.51,1.00192
log_lik[21],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[22],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[23],-1.48783,0.000246275,0.00868216,0.00675035,-1.50614,-1.48497,-1.47963,1339.82,1544.9,1464.29,1.00117
log_lik[24],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[25],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[26],-2.31295,0.00231463,0.0854872,0.0862549,-2.46378,-2.30695,-2.18267,1324.47,1544.9,1447.51,1.00192
log_lik[27],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[28],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[29],-3.2143,0.00508585,0.186957,0.189277,-3.53869,-3.20494,-2.9217,1324.47,1544.9,1447.51,1.00192
log_lik[30],-2.14553,0.0018003,0.0666597,0.0669809,-2.26413,-2.14016,-2.0454,1324.47,1544.9,1447.51,1.00192
log_lik[31],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[32],-4.08277,0.00775674,0.284764,0.288897,-4.57438,-4.07017,-3.63377,1324.47,1544.9,1447.51,1.00192
log_lik[33],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[34],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[35],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[36],-1.91683,0.00109862,0.040985,0.0405415,-1.99139,-1.91231,-1.85788,1324.47,1544.9,1447.51,1.00192
log_lik[37],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
