,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-147.437,0.0200057,0.731546,0.351376,-148.948,-147.161,-146.904,1481.8,1644.98,1751.54,1.00324
sigma,1.52981,0.00236798,0.0836578,0.0855482,1.39932,1.52703,1.6745,1277.43,1416.63,1509.96,1.0019
log_lik[1],-1.35017,0.00151181,0.0537651,0.0550823,-1.44072,-1.3498,-1.26391,1277.43,1416.63,1509.97,1.00184
log_lik[2],-1.58594,0.000801746,0.028157,0.0289442,-1.63576,-1.58433,-1.54319,1277.43,1416.63,1509.97,1.00194
log_lik[3],-1.53205,0.000963633,0.0339915,0.0349057,-1.59118,-1.53072,-1.47936,1277.43,1416.63,1509.96,1.00192
log_lik[4],-1.64657,0.000620447,0.0216264,0.0220644,-1.68591,-1.64464,-1.61501,1277.43,1416.63,1509.96,1.00198
log_lik[5],-4.47583,0.00794781,0.287778,0.29407,-4.96646,-4.45896,-4.02636,1277.43,1416.63,1509.97,1.00153
log_lik[6],-1.58594,0.000801746,0.028157,0.0289442,-1.63576,-1.58433,-1.54319,1277.43,1416.63,1509.97,1.00194
log_lik[7],-2.15179,0.000922571,0.0341788,0.0337339,-2.21348,-2.14719,-2.10385,1277.43,1416.63,1509.96,1.00119
log_lik[8],-1.82761,0.000122296,0.00432309,0.00207675,-1.8367,-1.82593,-1.82442,1422.11,1457.28,1680.98,1.00171
log_lik[9],-1.82761,0.000122296,0.00432309,0.00207675,-1.8367,-1.82593,-1.82442,1422.11,1457.28,1680.98,1.00171
log_lik[10],-2.15179,0.000922571,0.0341788,0.0337339,-2.21348,-2.14719,-2.10385,1277.43,1416.63,1509.96,1.00119
log_lik[11],-1.44448,0.00122734,0.0435019,0.0446126,-1.51874,-1.44361,-1.37562,1277.43,1416.63,1509.96,1.00187
log_lik[12],-3.20266,0.00409701,0.148759,0.151563,-3.45831,-3.19252,-2.97316,1277.43,1416.63,1509.97,1.00148
log_lik[13],-1.82761,0.000122296,0.00432309,0.00207675,-1.8367,-1.82593,-1.82442,1422.11,1457.28,1680.98,1.00171
log_lik[14],-1.53205,0.000963633,0.0339915,0.0349057,-1.59118,-1.53072,-1.47936,1277.43,1416.63,1509.96,1.00192
