,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-19.546,0.0357611,1.3153,1.08197,-22.1532,-19.2034,-18.0831,1448.72,1844.09,736.511,1.00249
w_direct,0.347944,0.00206863,0.0955071,0.0841662,0.22149,0.334877,0.520026,2501.99,1837.43,1271.98,1.0018
w_social,0.0107635,0.000181221,0.00943932,0.00792144,0.000700671,0.0082647,0.0296172,1846.47,1480.31,938.726,1.00067
sigma,0.657572,0.000788537,0.0386072,0.0389304,0.597623,0.656264,0.724272,2595.75,1897.75,1319.65,1.00045
mu[1],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[2],3.64597,0.00205003,0.100872,0.0992782,3.47564,3.64701,3.80644,2455.69,2075.61,1248.45,1.00076
mu[3],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[4],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
mu[5],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[6],5.321,0.00191229,0.0945358,0.0936621,5.16624,5.31953,5.47852,2485.84,1819.11,1263.77,1.00146
mu[7],4.1768,0.00106474,0.0542432,0.0511373,4.07641,4.18433,4.25256,2566.56,2537.41,1304.81,1.00025
mu[8],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[9],4.1768,0.00106474,0.0542432,0.0511373,4.07641,4.18433,4.25256,2566.56,2537.41,1304.81,1.00025
mu[10],5.321,0.00191229,0.0945358,0.0936621,5.16624,5.31953,5.47852,2485.84,1819.11,1263.77,1.00146
mu[11],5.321,0.00191229,0.0945358,0.0936621,5.16624,5.31953,5.47852,2485.84,1819.11,1263.77,1.00146
mu[12],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[13],5.27147,0.00195039,0.0996522,0.100201,5.10893,5.27169,5.43268,2705.46,2205.97,1375.43,1.00212
mu[14],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[15],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[16],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[17],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[18],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[19],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[20],5.35403,0.00205003,0.100872,0.0992782,5.19356,5.35299,5.52436,2455.69,2075.61,1248.45,1.00076
mu[21],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[22],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[23],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[24],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[25],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[26],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[27],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[28],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
mu[29],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[30],5.35403,0.00205003,0.100872,0.0992782,5.19356,5.35299,5.52436,2455.69,2075.61,1248.45,1.00076
mu[31],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[32],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[33],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[34],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[35],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[36],5.27147,0.00195039,0.0996522,0.100201,5.10893,5.27169,5.43268,2705.46,2205.97,1375.43,1.00212
mu[37],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[38],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[39],4.1768,0.00106474,0.0542432,0.0511373,4.07641,4.18433,4.25256,2566.56,2537.41,1304.81,1.00025
mu[40],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[41],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[42],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[43],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[44],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[45],5.27147,0.00195039,0.0996522,0.100201,5.10893,5.27169,5.43268,2705.46,2205.97,1375.43,1.00212
mu[46],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[47],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[48],5.35403,0.00205003,0.100872,0.0992782,5.19356,5.35299,5.52436,2455.69,2075.61,1248.45,1.00076
mu[49],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[50],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[51],5.35403,0.00205003,0.100872,0.0992782,5.19356,5.35299,5.52436,2455.69,2075.61,1248.45,1.00076
mu[52],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[53],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[54],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[55],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[56],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[57],5.321,0.00191229,0.0945358,0.0936621,5.16624,5.31953,5.47852,2485.84,1819.11,1263.77,1.00146
mu[58],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
mu[59],5.28798,0.00190426,0.0960172,0.0965557,5.13513,5.2874,5.44504,2647.56,2008.11,1345.99,1.00195
mu[60],5.27147,0.00195039,0.0996522,0.100201,5.10893,5.27169,5.43268,2705.46,2205.97,1375.43,1.00212
mu[61],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[62],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[63],3.64597,0.00205003,0.100872,0.0992782,3.47564,3.64701,3.80644,2455.69,2075.61,1248.45,1.00076
mu[64],5.27147,0.00195039,0.0996522,0.100201,5.10893,5.27169,5.43268,2705.46,2205.97,1375.43,1.00212
mu[65],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[66],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[67],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
mu[68],5.27147,0.00195039,0.0996522,0.100201,5.10893,5.27169,5.43268,2705.46,2205.97,1375.43,1.00212
mu[69],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[70],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[71],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[72],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[73],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
