,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-128.964,0.0340417,1.29879,1.1054,-131.503,-128.657,-127.5,1547.54,1941.91,861.661,1.00027
w_direct,1.05956,0.0100856,0.436985,0.350454,0.55464,0.962757,1.93531,2405.12,1948.13,1339.15,1.00029
w_social,0.0594731,0.00130494,0.0616481,0.0405613,0.00372182,0.0415748,0.174971,1607.19,1452.72,894.871,1.00052
sigma,1.34038,0.00157571,0.0777799,0.0778696,1.21821,1.33867,1.47507,2530.94,2272.93,1409.21,1.00144
mu[1],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[2],4.76976,0.00157262,0.0926788,0.0853761,4.58998,4.78849,4.88928,2847.76,2720.55,1585.61,1.0001
mu[3],4.96792,0.00155345,0.0767773,0.069676,4.86534,4.95505,5.11697,2340.74,2801.68,1303.31,1.0002
mu[4],3.25477,0.00265508,0.125026,0.118671,3.041,3.26084,3.45088,2274.61,2653.25,1266.49,1.0003
mu[5],4.23024,0.00157262,0.0926788,0.0853761,4.11072,4.21151,4.41002,2847.76,2720.55,1585.61,1.0001
mu[6],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[7],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[8],4.11135,0.000637242,0.0314298,0.0320721,4.06129,4.1099,4.16479,2328.65,1897.21,1296.57,1.00033
mu[9],6.32438,0.00282003,0.163691,0.166065,6.04325,6.33216,6.58379,3316.6,2743.21,1846.66,1.00092
mu[10],5.74523,0.00265508,0.125026,0.118671,5.54912,5.73916,5.959,2274.61,2653.25,1266.49,1.0003
mu[11],6.36401,0.00283208,0.155243,0.155119,6.09727,6.37008,6.6078,2934.39,2827.02,1633.85,1.00024
mu[12],4.19061,0.00102145,0.0637228,0.0598572,4.10295,4.18106,4.30782,3423.87,2945.94,1906.39,1.00037
mu[13],6.32438,0.00282003,0.163691,0.166065,6.04325,6.33216,6.58379,3316.6,2743.21,1846.66,1.00092
mu[14],3.33404,0.00191173,0.0942895,0.0962164,3.18388,3.32971,3.49436,2328.65,1897.21,1296.57,1.00033
mu[15],4.19061,0.00102145,0.0637228,0.0598572,4.10295,4.18106,4.30782,3423.87,2945.94,1906.39,1.00037
mu[16],5.00755,0.00209804,0.106492,0.0951152,4.87453,4.98633,5.2198,2128.25,2306.61,1184.99,1.00019
mu[17],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[18],5.5867,0.00171215,0.100643,0.102422,5.41187,5.59115,5.74532,3437.05,2981.36,1913.73,1.00097
