,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-863.923,0.0155485,0.698037,0.317625,-865.318,-863.655,-863.424,1969.09,2608.93,208.9,1.00216
sigma,1.03962,0.000489869,0.0183697,0.0185136,1.00974,1.03968,1.07053,1416.34,2006.19,150.259,1.00174
log_lik[1],-1.26332,0.000183261,0.00687649,0.0069634,-1.27511,-1.26321,-1.25237,1416.33,2006.19,150.258,1.0017
log_lik[2],-0.96487,0.000464312,0.0174072,0.0175073,-0.993911,-0.965075,-0.936292,1416.34,2006.19,150.259,1.00174
log_lik[3],-3.85171,0.00225581,0.0845407,0.0844282,-3.99365,-3.84889,-3.71388,1416.34,2006.19,150.259,1.00177
log_lik[4],-2.69589,0.0011668,0.0437268,0.0437525,-2.76956,-2.69428,-2.62487,1416.34,2006.19,150.259,1.00176
log_lik[5],-1.48038,2.35711e-05,0.000912047,0.000633367,-1.48225,-1.48006,-1.47957,1555.15,2403.82,164.985,1.00138
log_lik[6],-2.18038,0.000681118,0.0255246,0.025601,-2.2236,-2.17931,-2.13916,1416.34,2006.19,150.259,1.00177
log_lik[7],-1.02275,0.000409789,0.015364,0.0154619,-1.04845,-1.0229,-0.997592,1416.34,2006.19,150.259,1.00174
log_lik[8],-1.1765,0.000264988,0.00993817,0.0100411,-1.19331,-1.17648,-1.16042,1416.34,2006.19,150.259,1.00173
log_lik[9],-1.48038,2.35711e-05,0.000912047,0.000633367,-1.48225,-1.48006,-1.47957,1555.15,2403.82,164.985,1.00138
log_lik[10],-1.13851,0.000300757,0.0112784,0.0113719,-1.15752,-1.13854,-1.12019,1416.34,2006.19,150.259,1.00173
log_lik[11],-2.69589,0.0011668,0.0437268,0.0437525,-2.76956,-2.69428,-2.62487,1416.34,2006.19,150.259,1.00176
log_lik[12],-1.0734,0.000362085,0.0135764,0.0136748,-1.09617,-1.07349,-1.05123,1416.34,2006.19,150.259,1.00174
log_lik[13],-0.986576,0.000443866,0.016641,0.0167463,-1.01436,-0.986758,-0.959279,1416.34,2006.19,150.259,1.00173
log_lik[14],-1.48038,2.35711e-05,0.000912047,0.000633367,-1.48225,-1.48006,-1.47957,1555.15,2403.82,164.985,1.00138
log_lik[15],-3.56954,0.00198995,0.0745766,0.0744896,-3.69481,-3.56701,-3.44802,1416.34,2006.19,150.259,1.00177
log_lik[16],-1.13851,0.000300757,0.0112784,0.0113719,-1.15752,-1.13854,-1.12019,1416.34,2006.19,150.259,1.00173
log_lik[17],-1.36461,8.80953e-05,0.00331445,0.00332829,-1.37055,-1.3644,-1.35965,1416.32,2006.19,150.257,1.00163
log_lik[18],-1.9995,0.000510714,0.0191385,0.0191685,-2.03204,-1.99862,-1.96874,1416.34,2006.19,150.259,1.00176
log_lik[19],-1.9995,0.000510714,0.0191385,0.0191685,-2.03204,-1.99862,-1.96874,1416.34,2006.19,150.259,1.00176
log_lik[20],-1.0734,0.000362085,0.0135764,0.0136748,-1.09617,-1.07349,-1.05123,1416.34,2006.19,150.259,1.00174
log_lik[21],-1.9995,0.000510714,0.0191385,0.0191685,-2.03204,-1.99862,-1.96874,1416.34,2006.19,150.259,1.00176
log_lik[22],-2.69589,0.0011668,0.0437268,0.0437525,-2.76956,-2.69428,-2.62487,1416.34,2006.19,150.259,1.00176
log_lik[23],-1.68115,0.000210893,0.00790385,0.00789277,-1.69488,-1.68061,-1.66879,1416.34,2006.19,150.259,1.00175
log_lik[24],-1.02275,0.000409789,0.015364,0.0154619,-1.04845,-1.0229,-0.997592,1416.34,2006.19,150.259,1.00174
log_lik[25],-2.18038,0.000681118,0.0255246,0.025601,-2.2236,-2.17931,-2.13916,1416.34,2006.19,150.259,1.00177
log_lik[26],-1.61061,0.000144527,0.00541829,0.00535508,-1.62017,-1.61014,-1.60232,1416.33,2006.19,150.258,1.00172
log_lik[27],-2.47883,0.000962302,0.0360625,0.0361155,-2.53968,-2.47745,-2.42036,1416.34,2006.19,150.259,1.00177
log_lik[28],-1.83309,0.000353962,0.0132644,0.013269,-1.8558,-1.83239,-1.81195,1416.33,2006.19,150.258,1.00176
log_lik[29],-1.83309,0.000353962,0.0132644,0.013269,-1.8558,-1.83239,-1.81195,1416.33,2006.19,150.258,1.00176
log_lik[30],-0.973914,0.000455793,0.017088,0.0171902,-1.00243,-0.974109,-0.94587,1416.34,2006.19,150.259,1.00174
log_lik[31],-0.973914,0.000455793,0.017088,0.0171902,-1.00243,-0.974109,-0.94587,1416.34,2006.19,150.259,1.00174
log_lik[32],-1.83309,0.000353962,0.0132644,0.013269,-1.8558,-1.83239,-1.81195,1416.33,2006.19,150.258,1.00176
log_lik[33],-1.48038,2.35711e-05,0.000912047,0.000633367,-1.48225,-1.48006,-1.47957,1555.15,2403.82,164.985,1.00138
log_lik[34],-1.02275,0.000409789,0.015364,0.0154619,-1.04845,-1.0229,-0.997592,1416.34,2006.19,150.259,1.00174
log_lik[35],-2.69589,0.0011668,0.0437268,0.0437525,-2.76956,-2.69428,-2.62487,1416.34,2006.19,150.259,1.00176
log_lik[36],-2.18038,0.000681118,0.0255246,0.025601,-2.2236,-2.17931,-2.13916,1416.34,2006.19,150.259,1.00177
log_lik[37],-1.02275,0.000409789,0.015364,0.0154619,-1.04845,-1.0229,-0.997592,1416.34,2006.19,150.259,1.00174
log_lik[38],-2.27625,0.000771436,0.0289094,0.0289776,-2.32513,-2.27508,-2.22948,1416.34,2006.19,150.259,1.00177
log_lik[39],-1.00285,0.000428531,0.0160664,0.0161755,-1.0297,-1.00302,-0.97652,1416.34,2006.19,150.259,1.00174
log_lik[40],-1.36461,8.80953e-05,0.00331445,0.00332829,-1.37055,-1.3644,-1.35965,1416.32,2006.19,150.257,1.00163
