,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,64.8562,0.0351591,1.23912,1.03571,62.3813,65.1508,66.222,1321.1,1730.73,46.831,1.00201
w_direct,1.00237,0.00231656,0.0850594,0.0857777,0.875515,0.996834,1.14966,1384.49,1425.96,49.0781,1.00253
w_social,1.00574,0.00233486,0.0857859,0.0849264,0.880142,0.998986,1.15544,1387.49,1414.08,49.1843,1.00287
sigma,0.582024,0.000254754,0.0104448,0.0102479,0.565499,0.581707,0.599588,1720.36,1922.34,60.984,1.00167
mu[1],1.4383,0.000866219,0.0319071,0.0324913,1.38627,1.43803,1.48953,1370.1,1303.42,48.5677,1.00276
mu[2],4.0597,0.000285169,0.019073,0.0188072,4.02844,4.05955,4.09164,4492.27,2993.25,159.244,1.00166
mu[3],6.25173,0.000534021,0.0230793,0.0233276,6.21368,6.25154,6.28947,1880.33,2045.28,66.6546,1.00226
mu[4],4.06699,0.000399835,0.0279523,0.0279168,4.02108,4.06649,4.11282,4939.6,2904.47,175.101,1.00082
mu[5],4.4949,0.000447808,0.0322692,0.0318851,4.44166,4.49533,4.54857,5224.09,2925.79,185.186,1.00146
mu[6],4.50364,0.000319863,0.0230494,0.022775,4.46531,4.50333,4.54167,5224.08,2925.79,185.185,1.00146
mu[7],4.06407,0.000174465,0.0102121,0.0102563,4.0476,4.06393,4.08116,3476.58,2879.21,123.239,1.00019
mu[8],4.50364,0.000319863,0.0230494,0.022775,4.46531,4.50333,4.54167,5224.08,2925.79,185.185,1.00146
mu[9],4.50219,0.000191918,0.0138296,0.0136651,4.47918,4.502,4.525,5224.09,2925.79,185.186,1.00145
mu[10],4.94176,0.000404764,0.0281122,0.0279279,4.89471,4.94199,4.98822,4853.61,2981.88,172.053,1.0019
mu[11],4.06407,0.000174465,0.0102121,0.0102563,4.0476,4.06393,4.08116,3476.58,2879.21,123.239,1.00019
mu[12],7.12505,0.000746601,0.0278154,0.0279566,7.08109,7.12481,7.17062,1400.26,1447.95,49.637,1.00292
mu[13],5.37696,0.000315155,0.0166988,0.0165749,5.34931,5.37723,5.4044,2821.53,2777.87,100.019,1.00129
mu[14],6.68547,0.00062833,0.0244326,0.0248144,6.64517,6.68551,6.72542,1521.3,1747.42,53.9277,1.00188
