,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,91.3978,0.032438,1.20094,1.01229,89.0256,91.7105,92.7168,1444.39,2079.07,32.6224,1.00014
w_direct,0.389997,0.00100909,0.0398548,0.037561,0.330093,0.386779,0.462305,1587.26,1620.37,35.8493,0.999813
w_social,1.61045,0.00316827,0.12623,0.122817,1.42142,1.60132,1.83462,1628.13,1609.79,36.7722,0.999565
sigma,0.572148,0.000234081,0.0100717,0.0103295,0.555206,0.572118,0.588926,1877.22,1976.05,42.3982,1.00247
mu[1],3.18842,0.000334759,0.0133259,0.0131708,3.16625,3.18862,3.2101,1592.03,1609.56,35.957,0.999623
mu[2],7.3901,0.000658513,0.0269159,0.0272527,7.347,7.39008,7.43475,1679.98,1808.89,37.9433,0.999514
mu[3],6.36851,0.000451401,0.030811,0.0300619,6.3165,6.36866,6.41962,4681.98,2850.15,105.745,1.00113
mu[4],5.66438,0.000414468,0.0268778,0.0262957,5.61944,5.66467,5.70896,4232.7,2908.85,95.5981,1.00033
mu[5],5.47105,0.00015431,0.00977155,0.0097157,5.45493,5.47112,5.48693,4015.12,3293.97,90.6838,1.00193
mu[6],2.29096,0.000357392,0.023549,0.0232564,2.25209,2.29064,2.32977,4352.74,3261.73,98.3093,1.00195
mu[7],4.4264,0.000320454,0.0160785,0.0157901,4.3997,4.42654,4.45252,2542.12,2581.33,57.4154,1.00007
mu[8],6.15211,0.000596785,0.0240726,0.0230223,6.11273,6.15142,6.19277,1636.69,1965.15,36.9657,0.999901
mu[9],6.53877,0.00038697,0.0266825,0.0261338,6.49374,6.53892,6.58362,4775.65,3082.36,107.861,1.00151
mu[10],6.17518,0.000266249,0.0157499,0.0157193,6.14933,6.17495,6.20086,3500.72,3138.97,79.0658,1.0016
mu[11],5.66438,0.000414468,0.0268778,0.0262957,5.61944,5.66467,5.70896,4232.7,2908.85,95.5981,1.00033
mu[12],4.76693,6.44858e-05,0.00440157,0.00429457,4.7595,4.76695,4.77423,4681.95,2850.15,105.745,1.00113
mu[13],3.55201,0.000519522,0.0223723,0.0219776,3.51416,3.55269,3.58901,1872.74,2166.58,42.2969,1.00002
mu[14],6.00491,0.000264465,0.0180617,0.0179212,5.97468,6.00504,6.03536,4686.38,3134.32,105.845,1.00158
mu[15],4.96026,0.000419793,0.0239162,0.0235655,4.92049,4.96015,4.99947,3270.81,2837.75,73.8733,1.00015
mu[16],6.70904,0.000357392,0.023549,0.0232564,6.67023,6.70936,6.74791,4352.74,3261.73,98.3093,1.00196
mu[17],3.86948,0.000294351,0.0182537,0.0178504,3.83903,3.86938,3.90016,3861.54,2893.3,87.2151,1.00026
mu[18],5.83465,0.000322429,0.0220078,0.0214729,5.7975,5.83476,5.87116,4681.98,2850.15,105.745,1.00113
mu[19],3.69921,0.000193457,0.0132047,0.0128837,3.6773,3.69915,3.7215,4681.97,2850.15,105.745,1.00113
mu[20],4.23307,6.44858e-05,0.00440157,0.00429457,4.22577,4.23305,4.2405,4681.95,2850.15,105.745,1.00113
mu[21],5.83465,0.000322429,0.0220078,0.0214729,5.7975,5.83476,5.87116,4681.98,2850.15,105.745,1.00113
mu[22],5.66438,0.000414468,0.0268778,0.0262957,5.61944,5.66467,5.70896,4232.7,2908.85,95.5981,1.00033
mu[23],5.44799,0.000519522,0.0223723,0.0219776,5.41099,5.44731,5.48584,1872.74,2166.58,42.2969,1.00002
mu[24],4.96026,0.000419793,0.0239162,0.0235655,4.92049,4.96015,4.99947,3270.81,2837.75,73.8733,1.00015
mu[25],3.35868,0.000215916,0.00982626,0.0099888,3.34256,3.35869,3.37426,2076.99,2230.0,46.9101,0.99937
mu[26],6.8793,0.000381175,0.0218427,0.0218684,6.84325,6.87896,6.91508,3287.97,3077.86,74.2607,1.00169
mu[27],3.72228,0.000381289,0.016134,0.0158969,3.69527,3.72278,3.74902,1807.6,2135.87,40.8256,0.999996
mu[28],4.96026,0.000419793,0.0239162,0.0235655,4.92049,4.96015,4.99947,3270.81,2837.75,73.8733,1.00015
mu[29],4.96026,0.000419793,0.0239162,0.0235655,4.92049,4.96015,4.99947,3270.81,2837.75,73.8733,1.00015
mu[30],3.72228,0.000381289,0.016134,0.0158969,3.69527,3.72278,3.74902,1807.6,2135.87,40.8256,0.999996
mu[31],6.34544,0.000329837,0.0158065,0.0158872,6.32016,6.34521,6.37124,2302.88,2518.23,52.012,0.999791
mu[32],4.03974,0.000419793,0.0239162,0.0235655,4.00053,4.03985,4.07951,3270.81,2837.75,73.8733,1.00015
mu[33],3.52895,0.00015431,0.00977155,0.0097157,3.51307,3.52888,3.54507,4015.12,3293.97,90.6838,1.00193
mu[34],4.03974,0.000419793,0.0239162,0.0235655,4.00053,4.03985,4.07951,3270.81,2837.75,73.8733,1.00015
mu[35],5.66438,0.000414468,0.0268778,0.0262957,5.61944,5.66467,5.70896,4232.7,2908.85,95.5981,1.00033
mu[36],6.17518,0.000266249,0.0157499,0.0157193,6.14933,6.17495,6.20086,3500.72,3138.97,79.0658,1.0016
mu[37],3.35868,0.000215916,0.00982626,0.0099888,3.34256,3.35869,3.37426,2076.99,2230.0,46.9101,0.99937
mu[38],2.84789,0.000596785,0.0240726,0.0230223,2.80723,2.84858,2.88727,1636.69,1965.15,36.9657,0.999901
mu[39],2.84789,0.000596785,0.0240726,0.0230223,2.80723,2.84858,2.88727,1636.69,1965.15,36.9657,0.999901
mu[40],5.66438,0.000414468,0.0268778,0.0262957,5.61944,5.66467,5.70896,4232.7,2908.85,95.5981,1.00033
mu[41],2.31403,0.000557931,0.0222099,0.0219514,2.27708,2.31437,2.35017,1592.03,1609.56,35.957,0.999624
mu[42],2.14376,0.000685542,0.0271095,0.0266078,2.0975,2.14403,2.18773,1573.74,1629.85,35.5438,0.999737
mu[43],6.00491,0.000264465,0.0180617,0.0179212,5.97468,6.00504,6.03536,4686.38,3134.32,105.845,1.00158
mu[44],2.48429,0.000435806,0.0182095,0.018461,2.4543,2.48442,2.51339,1753.27,1908.8,39.5987,0.999469
mu[45],4.06281,0.000111586,0.00444198,0.00439028,4.05542,4.06287,4.07003,1592.04,1609.56,35.9572,0.999624
mu[46],3.86948,0.000294351,0.0182537,0.0178504,3.83903,3.86938,3.90016,3861.54,2893.3,87.2151,1.00026
mu[47],5.47105,0.00015431,0.00977155,0.0097157,5.45493,5.47112,5.48693,4015.12,3293.97,90.6838,1.00193
mu[48],6.70904,0.000357392,0.023549,0.0232564,6.67023,6.70936,6.74791,4352.74,3261.73,98.3093,1.00196
mu[49],5.81158,0.000334759,0.0133259,0.0131708,5.7899,5.81138,5.83375,1592.03,1609.56,35.957,0.999623
mu[50],2.84789,0.000596785,0.0240726,0.0230223,2.80723,2.84858,2.88727,1636.69,1965.15,36.9657,0.999901
mu[51],3.72228,0.000381289,0.016134,0.0158969,3.69527,3.72278,3.74902,1807.6,2135.87,40.8256,0.999996
mu[52],5.66438,0.000414468,0.0268778,0.0262957,5.61944,5.66467,5.70896,4232.7,2908.85,95.5981,1.00033
mu[53],4.96026,0.000419793,0.0239162,0.0235655,4.92049,4.96015,4.99947,3270.81,2837.75,73.8733,1.00015
mu[54],3.52895,0.00015431,0.00977155,0.0097157,3.51307,3.52888,3.54507,4015.12,3293.97,90.6838,1.00193
mu[55],4.06281,0.000111586,0.00444198,0.00439028,4.05542,4.06287,4.07003,1592.04,1609.56,35.9572,0.999624
mu[56],1.95043,0.000445376,0.0218999,0.0220519,1.91464,1.95073,1.98573,2423.53,2586.63,54.7368,1.00022
mu[57],1.95043,0.000445376,0.0218999,0.0220519,1.91464,1.95073,1.98573,2423.53,2586.63,54.7368,1.00022
mu[58],5.83465,0.000322429,0.0220078,0.0214729,5.7975,5.83476,5.87116,4681.98,2850.15,105.745,1.00113
mu[59],1.78017,0.00053918,0.0237078,0.024099,1.74111,1.78019,1.81754,1943.56,2186.67,43.8964,0.999402
mu[60],5.98185,0.000463534,0.0184,0.0178091,5.95184,5.98167,6.01309,1585.01,1613.0,35.7984,0.999801
mu[61],6.15211,0.000596785,0.0240726,0.0230223,6.11273,6.15142,6.19277,1636.69,1965.15,36.9657,0.999901
mu[62],3.52895,0.00015431,0.00977155,0.0097157,3.51307,3.52888,3.54507,4015.12,3293.97,90.6838,1.00193
mu[63],6.00491,0.000264465,0.0180617,0.0179212,5.97468,6.00504,6.03536,4686.38,3134.32,105.845,1.00158
mu[64],7.56036,0.000781104,0.0310938,0.0307319,7.50977,7.55988,7.61209,1592.03,1609.56,35.957,0.999624
mu[65],3.35868,0.000215916,0.00982626,0.0099888,3.34256,3.35869,3.37426,2076.99,2230.0,46.9101,0.99937
mu[66],4.59666,0.00018414,0.00994834,0.00976952,4.58032,4.59669,4.61288,2941.48,2904.84,66.4351,1.00004
mu[67],4.74387,0.000458451,0.0223164,0.0219599,4.70747,4.74365,4.78117,2392.59,2553.62,54.0381,1.00007
mu[68],2.84789,0.000596785,0.0240726,0.0230223,2.80723,2.84858,2.88727,1636.69,1965.15,36.9657,0.999901
mu[69],5.83465,0.000322429,0.0220078,0.0214729,5.7975,5.83476,5.87116,4681.98,2850.15,105.745,1.00113
mu[70],4.76693,6.44858e-05,0.00440157,0.00429457,4.7595,4.76695,4.77423,4681.95,2850.15,105.745,1.00113
mu[71],2.84789,0.000596785,0.0240726,0.0230223,2.80723,2.84858,2.88727,1636.69,1965.15,36.9657,0.999901
mu[72],2.65456,0.000329837,0.0158065,0.0158872,2.62876,2.65479,2.67984,2302.88,2518.23,52.012,0.999791
mu[73],3.52895,0.00015431,0.00977155,0.0097157,3.51307,3.52888,3.54507,4015.12,3293.97,90.6838,1.00193
mu[74],6.00491,0.000264465,0.0180617,0.0179212,5.97468,6.00504,6.03536,4686.38,3134.32,105.845,1.00158
mu[75],2.63149,0.000451401,0.030811,0.0300619,2.58038,2.63134,2.6835,4681.98,2850.15,105.745,1.00113
mu[76],2.14376,0.000685542,0.0271095,0.0266078,2.0975,2.14403,2.18773,1573.74,1629.85,35.5438,0.999737
mu[77],6.51571,0.000435806,0.0182095,0.018461,6.48661,6.51558,6.5457,1753.27,1908.8,39.5987,0.999469
mu[78],6.8793,0.000381175,0.0218427,0.0218684,6.84325,6.87896,6.91508,3287.97,3077.86,74.2607,1.00169
mu[79],6.68597,0.000557931,0.0222099,0.0219514,6.64983,6.68563,6.72292,1592.03,1609.56,35.957,0.999624
mu[80],6.15211,0.000596785,0.0240726,0.0230223,6.11273,6.15142,6.19277,1636.69,1965.15,36.9657,0.999901
mu[81],4.76693,6.44858e-05,0.00440157,0.00429457,4.7595,4.76695,4.77423,4681.95,2850.15,105.745,1.00113
mu[82],6.34544,0.000329837,0.0158065,0.0158872,6.32016,6.34521,6.37124,2302.88,2518.23,52.012,0.999791
mu[83],5.27772,0.000381289,0.016134,0.0158969,5.25098,5.27722,5.30473,1807.6,2135.87,40.8256,0.999996
mu[84],3.69921,0.000193457,0.0132047,0.0128837,3.6773,3.69915,3.7215,4681.97,2850.15,105.745,1.00113
mu[85],6.53877,0.00038697,0.0266825,0.0261338,6.49374,6.53892,6.58362,4775.65,3082.36,107.861,1.00151
mu[86],3.52895,0.00015431,0.00977155,0.0097157,3.51307,3.52888,3.54507,4015.12,3293.97,90.6838,1.00193
mu[87],2.63149,0.000451401,0.030811,0.0300619,2.58038,2.63134,2.6835,4681.98,2850.15,105.745,1.00113
mu[88],5.44799,0.000519522,0.0223723,0.0219776,5.41099,5.44731,5.48584,1872.74,2166.58,42.2969,1.00002
mu[89],5.47105,0.00015431,0.00977155,0.0097157,5.45493,5.47112,5.48693,4015.12,3293.97,90.6838,1.00193
mu[90],4.76693,6.44858e-05,0.00440157,0.00429457,4.7595,4.76695,4.77423,4681.95,2850.15,105.745,1.00113
mu[91],2.46123,0.00038697,0.0266825,0.0261338,2.41638,2.46108,2.50626,4775.65,3082.36,107.861,1.00151
mu[92],4.25613,0.000458451,0.0223164,0.0219599,4.21883,4.25635,4.29253,2392.59,2553.62,54.0381,1.00007
mu[93],3.33562,0.000414468,0.0268778,0.0262957,3.29104,3.33533,3.38056,4232.7,2908.85,95.5981,1.00033
mu[94],6.34544,0.000329837,0.0158065,0.0158872,6.32016,6.34521,6.37124,2302.88,2518.23,52.012,0.999791
mu[95],7.21983,0.00053918,0.0237078,0.024099,7.18246,7.21981,7.25889,1943.56,2186.67,43.8964,0.999402
mu[96],2.63149,0.000451401,0.030811,0.0300619,2.58038,2.63134,2.6835,4681.98,2850.15,105.745,1.00113
mu[97],6.15211,0.000596785,0.0240726,0.0230223,6.11273,6.15142,6.19277,1636.69,1965.15,36.9657,0.999901
mu[98],5.81158,0.000334759,0.0133259,0.0131708,5.7899,5.81138,5.83375,1592.03,1609.56,35.957,0.999623
mu[99],2.99509,0.000264465,0.0180617,0.0179212,2.96464,2.99496,3.02532,4686.38,3134.32,105.845,1.00158
mu[100],4.23307,6.44858e-05,0.00440157,0.00429457,4.22577,4.23305,4.2405,4681.95,2850.15,105.745,1.00113
mu[101],4.74387,0.000458451,0.0223164,0.0219599,4.70747,4.74365,4.78117,2392.59,2553.62,54.0381,1.00007
mu[102],1.6099,0.000658513,0.0269159,0.0272527,1.56525,1.60992,1.653,1679.98,1808.89,37.9433,0.999514
mu[103],4.40334,0.00018414,0.00994834,0.00976952,4.38712,4.40331,4.41968,2941.48,2904.84,66.4351,1.00004
