value,observed_proportion,wba_predictive_mean_proportion,wba_predictive_lower_5,wba_predictive_upper_95,sba_predictive_mean_proportion,sba_predictive_lower_5,sba_predictive_upper_95
-7,0.0,0.00015277777777777726,0.0,0.0004901960784313725,5.996732026143771e-05,0.0,0.0001633986928104575
-6,0.000980392156862745,0.001008292483660129,0.000326797385620915,0.0017973856209150326,0.0007250408496732001,0.0001633986928104575,0.00130718954248366
-5,0.003431372549019608,0.003947589869281201,0.00261437908496732,0.005392156862745098,0.004664746732026304,0.0032679738562091504,0.006045751633986928
-4,0.015196078431372549,0.012901960784313904,0.01045751633986928,0.015522875816993464,0.0187436683006537,0.016013071895424835,0.02173202614379085
-3,0.03872549019607843,0.0416976307189543,0.03741830065359477,0.04607843137254902,0.05923717320261456,0.05457516339869281,0.0642156862745098
-2,0.09003267973856209,0.11437218137254865,0.10767973856209151,0.12107843137254902,0.12956474673202503,0.12254901960784313,0.136437908496732
-1,0.21209150326797385,0.22619215686274266,0.2173202614379085,0.2349673202614379,0.19651425653595106,0.1883986928104575,0.20473856209150326
0,0.29558823529411765,0.28205363562091745,0.2718954248366013,0.29183006535947714,0.22892855392156838,0.2199346405228758,0.23774509803921567
1,0.2034313725490196,0.19143954248366166,0.18316993464052286,0.19983660130718955,0.18543100490195952,0.17745098039215687,0.1934640522875817
2,0.08594771241830065,0.08540424836601257,0.07941176470588235,0.0915032679738562,0.11335073529411685,0.10686274509803921,0.11977124183006536
3,0.03545751633986928,0.02908500816993476,0.02565359477124183,0.032679738562091505,0.04653067810457522,0.04231209150326798,0.05081699346405229
4,0.01258169934640523,0.00878831699346422,0.006862745098039216,0.010947712418300653,0.012855514705882537,0.010620915032679739,0.015196078431372549
5,0.004738562091503268,0.0024201797385622146,0.0014705882352941176,0.003594771241830065,0.002946405228758312,0.0017973856209150326,0.004084967320261438
6,0.0017973856209150326,0.0004776960784313709,0.0,0.000980392156862745,0.0004119689542483646,0.0,0.0008169934640522876
7,0.0,5.87826797385619e-05,0.0,0.000326797385620915,3.5539215686274396e-05,0.0,0.0001633986928104575
