generating_model,participant_id,trial,FirstRating,GroupRating,SecondRating_continuous,SecondRating_noisy_continuous,SecondRating,observed_change,social_gap,change,true_w_direct,true_w_social
WBA,21,1,3,3,3.153846153846154,3.628188325084685,4,1,0,0.1538461538461542,0.5,2.0
WBA,21,2,7,8,7.461538461538462,7.222348732790992,7,0,1,0.4615384615384617,0.5,2.0
WBA,21,3,1,8,6.384615384615385,7.086038323765011,7,6,7,5.384615384615385,0.5,2.0
WBA,21,4,1,7,5.666666666666666,5.749392189603476,6,5,6,4.666666666666666,0.5,2.0
WBA,21,5,4,6,5.487179487179487,5.977803144101168,6,2,2,1.4871794871794872,0.5,2.0
WBA,21,6,6,1,2.2564102564102564,2.2902007579552137,2,-4,-5,-3.7435897435897436,0.5,2.0
WBA,21,7,2,5,4.410256410256411,4.444570680285635,4,2,3,2.4102564102564106,0.5,2.0
WBA,21,8,8,6,6.205128205128205,6.488997597732838,6,-2,-2,-1.7948717948717947,0.5,2.0
WBA,21,9,2,8,6.564102564102564,5.8640096570120015,6,4,6,4.564102564102564,0.5,2.0
WBA,21,10,4,7,6.205128205128205,5.9310749511491085,6,2,3,2.2051282051282053,0.5,2.0
WBA,21,11,1,7,5.666666666666666,6.1892114104485305,6,5,6,4.666666666666666,0.5,2.0
WBA,21,12,4,5,4.769230769230769,4.810399883381706,5,1,1,0.7692307692307692,0.5,2.0
WBA,21,13,1,4,3.5128205128205128,3.2831312129971644,3,2,3,2.5128205128205128,0.5,2.0
WBA,21,14,3,7,6.0256410256410255,6.178713578394118,6,3,4,3.0256410256410255,0.5,2.0
WBA,21,15,1,6,4.948717948717949,5.873527099593564,6,5,5,3.948717948717949,0.5,2.0
WBA,21,16,3,8,6.743589743589744,5.776143653074134,6,3,5,3.7435897435897436,0.5,2.0
WBA,21,17,7,3,3.871794871794872,3.8873089465635076,4,-3,-4,-3.128205128205128,0.5,2.0
WBA,21,18,2,7,5.846153846153846,5.658037973279802,6,4,5,3.846153846153846,0.5,2.0
WBA,21,19,6,3,3.6923076923076925,3.2059280624835402,3,-3,-3,-2.3076923076923075,0.5,2.0
WBA,21,20,5,4,4.230769230769231,5.1896693074377644,5,0,-1,-0.7692307692307692,0.5,2.0
WBA,21,21,2,7,5.846153846153846,5.697050000147646,6,4,5,3.846153846153846,0.5,2.0
WBA,21,22,1,7,5.666666666666666,6.194983201763015,6,5,6,4.666666666666666,0.5,2.0
